introduction_id,country_id,year_id,description,intro_status
146035,15,2016,Hib (Haemophilus influenzae type B) vaccine,Yes
146036,15,2016,HPV (Human Papilloma Virus) vaccine,No
146037,15,2016,IPV (Inactivated polio vaccine),Yes
146038,15,2016,IPV (Inactivated polio vaccine) 2nd dose,No
146039,15,2016,Japanese Encephalitis,No
146040,15,2016,Measles-containing vaccine 2nd dose,Yes
146041,15,2016,Meningococcal meningitis vaccines (all strains),No
146042,15,2016,Mumps vaccine,No
146043,15,2016,PCV (Pneumococcal conjugate vaccine),Yes
146044,15,2016,PPV (Pneumococcal polysaccharide vaccine),No
146045,15,2016,Rotavirus vaccine,Yes
146046,15,2016,Rubella vaccine,No
146047,15,2016,Seasonal Influenza vaccine,No
146048,15,2016,Typhoid,No
146049,15,2016,Varicella vaccine,No
146050,15,2016,YF (Yellow fever) vaccine,No
146051,15,2015,aP (acellular pertussis) vaccine,No
146052,15,2015,Hepatitis A vaccine,No
146053,15,2015,Hepatitis B vaccine,Yes
146054,15,2015,HepB birth dose,No
146055,15,2015,Hib (Haemophilus influenzae type B) vaccine,Yes
146056,15,2015,HPV (Human Papilloma Virus) vaccine,No
146057,15,2015,IPV (Inactivated polio vaccine),Yes
146058,15,2015,IPV (Inactivated polio vaccine) 2nd dose,No
146059,15,2015,Japanese Encephalitis,No
146060,15,2015,Measles-containing vaccine 2nd dose,Yes
146061,15,2015,Meningococcal meningitis vaccines (all strains),No
146062,15,2015,Mumps vaccine,No
146063,15,2015,PCV (Pneumococcal conjugate vaccine),Yes
146064,15,2015,PPV (Pneumococcal polysaccharide vaccine),No
146065,15,2015,Rotavirus vaccine,Yes
146066,15,2015,Rubella vaccine,No
146067,15,2015,Seasonal Influenza vaccine,No
146068,15,2015,Typhoid,No
146069,15,2015,Varicella vaccine,No
146070,15,2015,YF (Yellow fever) vaccine,No
146071,15,2014,aP (acellular pertussis) vaccine,No
146072,15,2014,Hepatitis A vaccine,No
146073,15,2014,Hepatitis B vaccine,Yes
146074,15,2014,HepB birth dose,No
146075,15,2014,Hib (Haemophilus influenzae type B) vaccine,Yes
146076,15,2014,HPV (Human Papilloma Virus) vaccine,No
146077,15,2014,IPV (Inactivated polio vaccine),No
146078,15,2014,IPV (Inactivated polio vaccine) 2nd dose,No
146079,15,2014,Japanese Encephalitis,No
146080,15,2014,Measles-containing vaccine 2nd dose,Yes
146081,15,2014,Meningococcal meningitis vaccines (all strains),No
146082,15,2014,Mumps vaccine,No
146083,15,2014,PCV (Pneumococcal conjugate vaccine),Yes
146084,15,2014,PPV (Pneumococcal polysaccharide vaccine),No
146085,15,2014,Rotavirus vaccine,Yes
146086,15,2014,Rubella vaccine,No
146087,15,2014,Seasonal Influenza vaccine,No
146088,15,2014,Typhoid,No
146089,15,2014,Varicella vaccine,No
146090,15,2014,YF (Yellow fever) vaccine,No
146091,15,2013,aP (acellular pertussis) vaccine,No
146092,15,2013,Hepatitis A vaccine,No
146093,15,2013,Hepatitis B vaccine,Yes
146094,15,2013,HepB birth dose,No
146095,15,2013,Hib (Haemophilus influenzae type B) vaccine,Yes
146096,15,2013,HPV (Human Papilloma Virus) vaccine,No
146097,15,2013,IPV (Inactivated polio vaccine),No
146098,15,2013,IPV (Inactivated polio vaccine) 2nd dose,No
146099,15,2013,Japanese Encephalitis,No
146100,15,2013,Measles-containing vaccine 2nd dose,Yes
146101,15,2013,Meningococcal meningitis vaccines (all strains),No
146102,15,2013,Mumps vaccine,No
146103,15,2013,PCV (Pneumococcal conjugate vaccine),Yes
